	game3
Just Chatting	792
Among Us	438
VALORANT	424
Call Of Duty: Modern Warfare	373
Fall Guys: Ultimate Knockout	276
League of Legends	271
Minecraft	201
Counter-Strike: Global Offensive	198
Unlisted on Twitch	185
Grand Theft Auto V	152
Escape From Tarkov	134
Animal Crossing: New Horizons	129
Fortnite	118
Apex Legends	111
Teamfight Tactics	109
